Designator,Mid X,Mid Y,Rotation,Layer
CN1,107.625,-117.975,90.0,top
CN2,168.4,-117.925,270.0,top
SW1,171.435,-103.075,270.0,top
U1,111.73,-94.2875,0.0,top
